track_name,artists,track_id
Freedom! '90 - Remastered,['George Michael'],1wZ7o1mZysv1l26ZWawVfW
Celebration - Single Version,['Kool & The Gang'],6HIVJXpdvp1C1ubfnkFnz8
Le Freak - 2018 Remaster,['CHIC'],7Kszjzps0xbQXyo1pO4KfE
Can You Feel It,['The Jacksons'],0RAiBUgOC5pgFUHsldtix3
Love Foolosophy - Radio Edit,['Jamiroquai'],0upgxxew2mVAEctrz08jnf
Insomnia,"['Faithless', 'Rollo Armstrong', 'Sister Bliss']",5z5wYWL1IO6y2yEFBOiGt0
Blue Monday - 2016 Remaster,['New Order'],1RSy7B2vfPi84N80QJ6frX
Levels - Original Version,['Avicii'],6Xe9wT5xeZETPwtaP2ynUz
Heading Up High,"['Armin van Buuren', 'Kensington']",7fDHYNpNfSJ7h0jDX440Y5
Titanium (feat. Sia),"['David Guetta', 'Sia']",0TDLuuLlV54CkRRUOahJb4
Children,['Robert Miles'],3boi65u59Ex9jbhLXcXwre
Moth To A Flame (with The Weeknd),"['Swedish House Mafia', 'The Weeknd']",7kfOEMJBJwdCYqyJeEnNhr
Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",2V65y3PX4DkRhy1djlxd9p
The Business,['Tiësto'],6f3Slt0GbA2bPZlz0aIFXN
Come Undone,['Duran Duran'],0yfNXxlyXdmP0ue1iJijx1
The Reflex - Single Version; 2010 Remaster,['Duran Duran'],4sz1Ng2Cgidfqqiy0pNL6R
Hungry Like the Wolf - 2009 Remaster,['Duran Duran'],39lSeqnyjZJejRuaREfyLL
Everybody Wants To Rule The World - Extended Version,['Tears For Fears'],7uBdncahX0bULWkpaDax8y
Have A Nice Day,['Stereophonics'],6JWddKPdqvDc2WkPEi9grC
Cose della vita - Remastered 2021,['Eros Ramazzotti'],6RjX7ObCUXHu4RVKl3zB7G
Here Comes the Rain Again - 2018 Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",2HJ0irMgolBlOGk29m8Gu1
Change - Extended Version,['Tears For Fears'],7KdSZ6AqceqaX3Y6tKSs0T
Stone Woman,['Bryan Ferry'],4dp4evZNnaEOoyDAbEA11x
Gold - 2003 Remaster,['Spandau Ballet'],0Z9UkcT1pnrmLciUJPcMMS
The Lebanon,['The Human League'],5d4ZCmvSLvjMOSdIKkCyQ5
Left Outside Alone,['Anastacia'],3xl7PsO7Hzuig6To9FgDm6
One Day In Your Life - European Version,['Anastacia'],6XndMRKkpDDWpgNEfQJSPe
Millennium,['Robbie Williams'],1nrackcWUBo87xecPgry2G
Red Rain - Remastered,['Peter Gabriel'],1DLwcAQCsEMgEvqJj9NPJ9
Welcome To The Pleasuredome,['Frankie Goes To Hollywood'],6PF0WYSCH6OhGKHRHOQSxG
Hold On,['Wilson Phillips'],4VZDv8sASBS8UruUBGTFdk
The Tipping Point,['Tears For Fears'],19ug3juWuv5wxSNZzTnFZ5
Pamela,['TOTO'],3LFdvM7nIV8t02zyhYLvJo
Life on the Dancefloor,['Seal'],5U7gDzvHTEc0DeIsFFNHO3
I Don't Want to Be,['Gavin DeGraw'],17yReVjsDb7Hlvjqz6jhDm
